#sequence_ID,Rating
1,Good - Middle
2,Bad-LEFT
3,Bad-RIGHT
4,Good - Middle
5,Bad-LEFT
6,Bad - RIGHT
7,Poor -Middle
8,Poor -Middle
9,Good - Middle
10,Bad - LEFT
11,Bad - RIGHT
12,Bad - RIGHT
13,Bad - LEFT
14,Poor -Middle
15,Bad- RIGHT
16,Good - Middle
17,Good - Middle
18,Bad - LEFT
19,Poor -Middle
20,Good - Middle
21,Good - Middle
22,Poor -Middle
23,Bad - LEFT
24,Bad - RIGHT
25,Good -Middle
26,Poor -Middle
27,Bad - LEFT
28,Bad - RIGHT
29,Good - Middle
30,Bad - LEFT
31,Good -Middle
32,Bad- LEFT
33,Good - Middle
34,Poor -Middle
35,Poor -Middle
36,Bad - RIGHT
37,Good - Middle
38,Poor -Middle
39,Good - Middle
40,Bad - LEFT
41,Bad - RIGHT
42,Poor -Middle
43,Bad - RIGHT
44,Bad - LEFT
45,Poor -Middle
46,Bad - RIGHT
47,Bad - RIGHT
48,Poor -Middle
49,Bad - LEFT
50,Bad - LEFT
51,Good - Middle
52,Good - Middle
53,Bad - RIGHT
54,Bad - RIGHT
55,Poor -Middle
56,Bad - LEFT
57,Poor -Middle
58,Good -Middle
59,Bad -RIGHT
60,Poor -Middle
61,Bad -LEFT
62,Bad-RIGHT
63,Good - Middle
64,Bad-LEFT
65,Bad -Right
66,Poor -Middle
67,Bad -LEFT
68,Poor -Middle
69,Bad - LEFT
70,Bad -RIGHT
71,Poor -Middle
72,Good - Middle
73,Good -Middle
74,Bad -RIGHT
75,Bad - LEFT
76,Good -Middle
77,Poor -Middle
78,Bad - RIGHT
79,Poor -Middle
80,Good -Middle
81,Bad - RIGHT
82,Bad -RIGHT
83,Bad - LEFT
84,Bad - LEFT
85,Good -Middle
86,Poor -Middle
87,Bad - LEFT
88,Bad -RIGHT
89,Poor -Middle
90,Poor -Middle
91,Good - Middle
92,Bad - RIGHT
93,Poor -Middle
94,Bad - LEFT
95,Bad - RIGHT
96,Good - Middle
97,Bad - RIGHT
98,Poor -Middle
99,Bad - LEFT
100,Poor -Middle
101,Bad - LEFT
102,Bad- LEFT
103,Good - Middle
104,Poor -Middle
105,Good - Middle
106,Bad - RIGHT
107,Bad- RIGHT
108,Good - Middle
109,Bad - LEFT
110,Poor -Middle
111,Bad - RIGHT
112,Good - Middle
113,Bad - LEFT
114,Bad - RIGHT
115,Poor -Middle
116,Good - Middle
117,Poor -Middle
118,Bad - RIGHT
119,Poor -Middle
120,Bad - LEFT
121,Bad- RIGHT
122,Good - Middle
123,Good - Middle
124,Bad - LEFT
125,Good - Middle
126,Bad - RIGHT
127,Bad - LEFT
128,Bad - RIGHT
129,Poor -Middle
130,Good - Middle
131,Poor -Middle
132,Bad - LEFT
133,Bad - RIGHT
134,Poor -Middle
135,Good - Middle
136,Good - Middle
137,Bad - LEFT
138,Poor -Middle
139,Bad - LEFT
140,Bad - LEFT
141,Poor -Middle
142,Bad - RIGHT
143,Bad - RIGHT
144,Bad - LEFT
145,Good - Middle
146,Bad - LEFT
147,Poor -Middle
148,Bad - RIGHT
149,Poor -Middle
150,Good - Middle
151,Good - Middle
152,Bad - LEFT
153,Bad - RIGHT
154,Poor -Middle
155,Good - Middle
156,Bad - LEFT
157,Poor -Middle
158,Bad - RIGHT
159,Poor -Middle
160,Good - Middle
161,Bad - LEFT
162,Bad - RIGHT
163,Good - Middle
164,Poor -Middle
165,Bad - LEFT
166,Bad - RIGHT
167,Good - Middle
168,Bad - RIGHT
169,Bad - LEFT
170,Poor -Middle
171,Bad - LEFT
172,Bad - RIGHT
173,Good - Middle
174,Bad- LEFT
175,Bad- RIGHT
176,Poor -Middle
177,Bad- LEFT
178,Poor -Middle
179,Poor -Middle
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
